queue_rank,score_id,run_id,feature_run_id,parcel_id,year,score_value,risk_band,requires_review,review_status,review_disposition,review_updated_at,reason_code_count,primary_reason_code,primary_reason_weight,municipality_name,valuation_classification,dossier_parcel_id,dossier_year,dossier_feature_version,dossier_ruleset_version
1,255547,15,14,061002408541,2025,91.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002408541,2025,feature_v1,scoring_rules_v1
2,255631,15,14,061002410651,2025,91.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002410651,2025,feature_v1,scoring_rules_v1
3,255246,15,14,061002401001,2024,91.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002401001,2024,feature_v1,scoring_rules_v1
4,255343,15,14,061002403431,2025,83.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002403431,2025,feature_v1,scoring_rules_v1
5,255347,15,14,061002403541,2025,83.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002403541,2025,feature_v1,scoring_rules_v1
6,255383,15,14,061002404431,2025,83.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002404431,2025,feature_v1,scoring_rules_v1
7,255210,15,14,061002400101,2024,83.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002400101,2024,feature_v1,scoring_rules_v1
8,255218,15,14,061002400321,2024,83.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002400321,2024,feature_v1,scoring_rules_v1
9,255290,15,14,061002402101,2024,83.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002402101,2024,feature_v1,scoring_rules_v1
10,255249,15,14,061002401101,2023,83.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002401101,2023,feature_v1,scoring_rules_v1
11,255525,15,14,061002408001,2023,83.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002408001,2023,feature_v1,scoring_rules_v1
12,255529,15,14,061002408101,2023,83.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002408101,2023,feature_v1,scoring_rules_v1
13,257727,15,14,061002429901,2021,83.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002429901,2021,feature_v1,scoring_rules_v1
14,255585,15,14,061002409541,2023,75.00,high,true,unreviewed,,,4,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002409541,2023,feature_v1,scoring_rules_v1
15,255367,15,14,061002404001,2025,71.00,high,true,unreviewed,,,3,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002404001,2025,feature_v1,scoring_rules_v1
16,255675,15,14,061002411761,2025,71.00,high,true,unreviewed,,,3,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002411761,2025,feature_v1,scoring_rules_v1
17,255278,15,14,061002401871,2024,71.00,high,true,unreviewed,,,3,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002401871,2024,feature_v1,scoring_rules_v1
18,255350,15,14,061002403651,2024,71.00,high,true,unreviewed,,,3,ratio__assessment_to_sale_below_floor,35.0000,VILLAGE OF MCFARLAND,G1,061002403651,2024,feature_v1,scoring_rules_v1
